pi_id,score,win,win_2014,hirsh,scopus,rints,inst_cap,member,domain,delisted,sex,region,degree,proj_id,pr_rank,org_prestige
ca1c26841b5cb5cc4b22d7cbeeb388368bada7d49e53c44acd7e71862d45bf0c,21.33,No,No,3,Yes,No,No,no,Agriculture,No,Female,Алматы,Candidate,4009,second,National
b532acc5ff014aae5340274dbbb8ed77d4868c40009cdc04d73c4a98064c4913,25.33,No,No,1,Yes,Yes,No,no,Culture,Yes,Female,Other,Candidate,1038,best,Regional
b532acc5ff014aae5340274dbbb8ed77d4868c40009cdc04d73c4a98064c4913,15.67,No,No,0,No,Yes,No,no,Natural_rm,No,Female,Other,Candidate,3546,second,Regional
805e50c927c18ee2951019df3886e130453297b8668e7b11e7dee3499a6f22ca,19.67,No,Yes,0,No,No,Works with,no,Culture,No,Male,Алматы,Doctor,1569,best,National
805e50c927c18ee2951019df3886e130453297b8668e7b11e7dee3499a6f22ca,14.33,No,Yes,0,No,No,Works with,no,Culture,No,Male,Алматы,Doctor,1812,second,National
4a5e03b409d4d1ca0b7cc5db86384d4dfe3d355f53ad0835eca12b1ed429ea23,15.33,No,No,1,Yes,No,No,no,Culture,Yes,Female,Other,Candidate,1782,second,Regional
4a5e03b409d4d1ca0b7cc5db86384d4dfe3d355f53ad0835eca12b1ed429ea23,23.67,No,No,0,No,No,No,no,Security,No,Female,Other,Candidate,2482,best,Regional
dbb5cf971bbbc9db467db0b450fb6bfa04ae22cc37e78e6170f979cf9f3676f3,29.67,Yes,No,1,Yes,No,No,no,Culture,Yes,Male,Алматы,Candidate,684,best,Regional
dbb5cf971bbbc9db467db0b450fb6bfa04ae22cc37e78e6170f979cf9f3676f3,25.67,No,No,1,Yes,No,No,no,Culture,Yes,Female,Алматы,Candidate,1014,second,Regional
8f6a8ec4bb1685bf195da059cc9ebe1f3112626886c22469af59cf94e8435464,25,No,Yes,0,Yes,No,No,no,Culture,No,Female,Other,Candidate,1059,best,Regional
8f6a8ec4bb1685bf195da059cc9ebe1f3112626886c22469af59cf94e8435464,20.33,No,No,0,Yes,No,No,no,Culture,No,Female,Other,Candidate,1509,second,Regional
59055b2f418f609b3a8f95563e346c5397f5badcf15e472f498bb957e827fc12,23.67,No,Yes,0,Yes,No,Works with,no,Culture,No,Female,Астана,Candidate,1224,best,National
59055b2f418f609b3a8f95563e346c5397f5badcf15e472f498bb957e827fc12,10.67,No,Yes,0,Yes,No,Works with,no,Culture,No,Female,Астана,Candidate,1858,second,National
c8743b7e91e2f9d446d1e2f3a290a51c5b45a3828d5e99affefb0e136fa000c1,24.33,Yes,No,1,Yes,No,Works with,no,Culture,Yes,Female,Астана,Doctor,1132,best,National
c8743b7e91e2f9d446d1e2f3a290a51c5b45a3828d5e99affefb0e136fa000c1,22.67,No,No,1,Yes,No,Works with,no,Culture,Yes,Female,Астана,Doctor,1317,second,National
4c274c2e09bc35c57015af50055e9869f16ea249a4eef10775c6e384c8e5015c,16,No,No,2,Yes,No,No,no,Science,No,Male,Астана,Doctor,549,second,Regional
4c274c2e09bc35c57015af50055e9869f16ea249a4eef10775c6e384c8e5015c,21,No,No,0,Yes,No,No,no,Culture,Yes,Male,Алматы,Doctor,1442,best,Other
6b96146e192be9bbe98ac7527cf9028bba083c236545dfa18953586f3f580a61,26,Yes,Yes,3,Yes,Yes,Member,yes,Science,No,Male,Алматы,Doctor,245,best,Other
6b96146e192be9bbe98ac7527cf9028bba083c236545dfa18953586f3f580a61,23.33,No,Yes,3,Yes,Yes,Member,yes,Science,No,Male,Алматы,Doctor,357,second,Other
0f340ad0c27c5c66ef631e0bfdd65e139ddaadb6dc109394bfe73eae99a34ea0,25.33,Yes,No,0,Yes,No,Works with,no,Natural_rm,No,Male,Алматы,Doctor,3020,best,Other
0f340ad0c27c5c66ef631e0bfdd65e139ddaadb6dc109394bfe73eae99a34ea0,23,No,No,0,Yes,No,Works with,no,Natural_rm,No,Male,Алматы,Doctor,3235,second,Other
e7c435ada20c6a779b463f0be278e6e64db19d40bd6a1a5a36b7d9169f5d791d,17,No,No,0,No,No,No,no,Culture,No,Female,Шымкент,Candidate,1709,best,Regional
e7c435ada20c6a779b463f0be278e6e64db19d40bd6a1a5a36b7d9169f5d791d,14.67,No,No,0,No,No,No,no,Culture,No,Female,Шымкент,Candidate,1804,second,Regional
9deae55185559e9f17708dd78704504d1e01e2cc29d9542a2cfb86f49cb67f7d,22.67,No,No,1,Yes,No,No,no,Natural_rm,Yes,Female,Алматы,Candidate,3247,second,Other
9deae55185559e9f17708dd78704504d1e01e2cc29d9542a2cfb86f49cb67f7d,24.33,No,No,1,Yes,No,No,no,Agriculture,Yes,Female,Астана,Candidate,3858,best,Other
39f53ed12205bd7ca486ffb963bbe3e095d76daaf3aa7c589bfbd0eace9ce00c,27.33,No,No,0,No,No,No,no,Security,No,Male,Алматы,Doctor,2454,best,National
39f53ed12205bd7ca486ffb963bbe3e095d76daaf3aa7c589bfbd0eace9ce00c,17.67,No,No,0,No,No,No,no,Security,No,Male,Алматы,Doctor,2525,second,National
c2180909d6c4dbe3439edd5d44956cf65d6601611a4ae4c80a26ce49b079fb09,30.33,No,No,2,Yes,Yes,No,no,Natural_rm,No,Male,Other,Candidate,2609,best,Regional
c2180909d6c4dbe3439edd5d44956cf65d6601611a4ae4c80a26ce49b079fb09,28.67,Yes,No,2,Yes,Yes,No,no,Natural_rm,No,Male,Other,Candidate,2721,second,Regional
0ebdd48f9338f8fce60f9ee89d107e2371b99dab26d53c9ceba1512588646e45,23,No,Yes,0,No,Yes,No,no,Culture,No,Male,Алматы,Doctor,1285,best,International
0ebdd48f9338f8fce60f9ee89d107e2371b99dab26d53c9ceba1512588646e45,19.67,No,Yes,0,No,Yes,No,no,Culture,No,Male,Алматы,Doctor,1561,second,International
3a9fc002f721149ea8edeee8ea1d52df36bb338c88b3854560c7ad60adea740e,18.67,No,No,1,Yes,No,Works with,no,Science,No,Male,Алматы,PhD,507,best,National
3a9fc002f721149ea8edeee8ea1d52df36bb338c88b3854560c7ad60adea740e,15,No,No,1,Yes,No,Works with,no,Science,No,Male,Алматы,PhD,555,second,National
adb31918987962af08f8e059f91cbefad25a365ac429f05a4114dc8b0f3d87ff,25.67,Yes,Yes,12,Yes,Yes,Works with,no,Science,No,Female,Алматы,Doctor,269,best,National
adb31918987962af08f8e059f91cbefad25a365ac429f05a4114dc8b0f3d87ff,22.67,Yes,Yes,12,Yes,Yes,Works with,no,Energy,No,Female,Алматы,Doctor,4372,second,National
2b612079f2395fbd5fe54ea0f27c20f679f55e046933a7536f7f9b8a98adc6b9,27.33,No,No,0,Yes,No,No,no,Agriculture,No,Female,Астана,Candidate,3707,best,Regional
2b612079f2395fbd5fe54ea0f27c20f679f55e046933a7536f7f9b8a98adc6b9,24.67,No,No,0,No,No,No,no,Agriculture,No,Female,Астана,Candidate,3844,second,Regional
a0652e69ee95721628b67d5844338e1e10b9d6f03c7690ddca47a0f900832de0,25.33,No,Yes,0,No,No,No,no,Life,No,Female,Алматы,Candidate,2086,best,Other
a0652e69ee95721628b67d5844338e1e10b9d6f03c7690ddca47a0f900832de0,24,Yes,Yes,0,Yes,No,No,no,Agriculture,No,Female,Алматы,Doctor,3869,second,Other
174045ccc8825594b51f687e19d6ded5379e10300cd7ccfed14d5e8d2f88e5c1,21.67,No,No,0,Yes,No,Works with,no,Agriculture,No,Male,Астана,Doctor,3990,best,National
174045ccc8825594b51f687e19d6ded5379e10300cd7ccfed14d5e8d2f88e5c1,16.67,No,No,0,Yes,No,No,no,Energy,No,Male,Астана,Doctor,4459,second,National
b2175dec72c4f30a46868224e51ed88962722f9b6897b2e63907db5ac0f3d12d,27.33,No,No,3,Yes,No,No,no,Natural_rm,Yes,Male,Алматы,Doctor,2823,best,Other
b2175dec72c4f30a46868224e51ed88962722f9b6897b2e63907db5ac0f3d12d,23,No,No,3,Yes,No,No,no,Natural_rm,Yes,Male,Алматы,Doctor,3232,second,Other
7ec4d5e9b6acd31b89fb65f91017885ec581a519c26c380261feecd32769f587,25.67,No,Yes,0,Yes,No,No,no,Life,No,Male,Other,Candidate,2078,best,Regional
7ec4d5e9b6acd31b89fb65f91017885ec581a519c26c380261feecd32769f587,20.33,No,Yes,0,Yes,Yes,(Missing),no,Life,No,Male,Other,Candidate,2289,second,Other
fa31c431bd2723d024c1271a8fb4e0aa13d11f3a6323c97c958188f041a5618c,25.67,Yes,No,0,Yes,No,Works with,no,Culture,Yes,Female,Алматы,Candidate,990,best,National
fa31c431bd2723d024c1271a8fb4e0aa13d11f3a6323c97c958188f041a5618c,23,No,No,0,Yes,No,Works with,no,Culture,Yes,Female,Алматы,Candidate,1282,second,National
5e20e328a88cc091ba04cf1bd5ea330aba508293df9af6b655bc267ec3ea19bc,30.67,No,No,2,Yes,Yes,No,no,Life,Yes,Male,Other,Doctor,1901,best,Regional
5e20e328a88cc091ba04cf1bd5ea330aba508293df9af6b655bc267ec3ea19bc,28.33,No,No,2,Yes,Yes,No,no,Natural_rm,Yes,Male,Other,Candidate,2749,second,Regional
d04bc83337968d30c1bdf00b5d5731a06a5a023ba7ebb7041ad46ac407acca38,16.33,No,No,1,Yes,No,No,no,Science,No,Male,Алматы,Doctor,543,second,Other
d04bc83337968d30c1bdf00b5d5731a06a5a023ba7ebb7041ad46ac407acca38,20,No,No,1,Yes,No,No,no,Natural_rm,Yes,Male,Алматы,Doctor,3433,best,Other
